L1_CODE,L1_NAME,L2_CODE,L2_NAME,L3_CODE,L3_NAME,UMEP_class,note
100,시가화건조지역,110,주거지역,111,단독주거시설,building,
100,시가화건조지역,110,주거지역,112,공동주거시설,building,
100,시가화건조지역,120,공업지역,121,공업시설,building,
100,시가화건조지역,130,상업지역,131,상업.업무시설,building,
100,시가화건조지역,130,상업지역,132,혼합지역,building,
100,시가화건조지역,140,문화.체육.휴양지역,141,문화.체육.휴양시설,building,"실외 체육시설 포함 가능하나 단순화"
100,시가화건조지역,150,교통지역,151,공항,paved,
100,시가화건조지역,150,교통지역,152,항만,paved,
100,시가화건조지역,150,교통지역,153,철도,paved,
100,시가화건조지역,150,교통지역,154,도로,paved,
100,시가화건조지역,150,교통지역,155,기타 교통.통신시설,paved,
100,시가화건조지역,160,공공시설지역,161,환경기초시설,building,
100,시가화건조지역,160,공공시설지역,162,교육.행정시설,building,
100,시가화건조지역,160,공공시설지역,163,기타 공공시설,building,
200,농업지역,210,논,211,경지정리가 된 논,grass,
200,농업지역,210,논,212,경지정리가 안 된 논,grass,
200,농업지역,220,밭,221,경지정리가 된 밭,grass,
200,농업지역,220,밭,222,경지정리가 안 된 밭,grass,
200,농업지역,230,시설재배지,231,시설재배지,building,"비닐하우스.온실 등 구조물로 간주"
200,농업지역,240,과수원,241,과수원,grass,"낮은 관리수관 CDSM 미반영, 지면은 grass"
200,농업지역,250,기타재배지,251,목장.양식장,grass,
200,농업지역,250,기타재배지,252,기타재배지,grass,
300,산림지역,310,활엽수림,311,활엽수림,CDSM,"landcover 미적용, FRTP_NM 기반 CDSM 별도 반영, 지면은 grass로 처리"
300,산림지역,320,침엽수림,321,침엽수림,CDSM,"상동"
300,산림지역,330,혼효림,331,혼효림,CDSM,"상동, 형태는 활엽수(구형)로 단순화"
400,초지,410,자연초지,411,자연초지,grass,
400,초지,420,인공초지,421,골프장,grass,
400,초지,420,인공초지,422,묘지,grass,
400,초지,420,인공초지,423,기타초지,grass,
500,습지,510,내륙습지,511,내륙습지,water,
500,습지,520,연안습지,521,갯벌,water,
500,습지,520,연안습지,522,염전,water,
600,나지,610,자연나지,611,해변,bare_soil,
600,나지,610,자연나지,612,강기슭,bare_soil,
600,나지,610,자연나지,613,암벽.바위,bare_soil,
600,나지,620,인공나지,621,채광지역,bare_soil,
600,나지,620,인공나지,622,운동장,bare_soil,"분류체계상 '나지'로 명명되어 포장 여부 불문 bare_soil로 통일"
600,나지,620,인공나지,623,기타나지,bare_soil,
700,수역,710,내륙수,711,하천,water,
700,수역,710,내륙수,712,호소,water,
700,수역,720,해양수,721,해양수,water,
