u,v,osmid,highway_1,width_final,length,Tmrt_06,Tmrt_07,Tmrt_08,Tmrt_09,Tmrt_10,Tmrt_11,Tmrt_12,Tmrt_13,Tmrt_14,Tmrt_15,Tmrt_16,Tmrt_17,Tmrt_18,Tmrt_19,Ta_idw_06,RH_idw_06,UTCI_06,Ta_idw_07,RH_idw_07,UTCI_07,Ta_idw_08,RH_idw_08,UTCI_08,Ta_idw_09,RH_idw_09,UTCI_09,Ta_idw_10,RH_idw_10,UTCI_10,Ta_idw_11,RH_idw_11,UTCI_11,Ta_idw_12,RH_idw_12,UTCI_12,Ta_idw_13,RH_idw_13,UTCI_13,Ta_idw_14,RH_idw_14,UTCI_14,Ta_idw_15,RH_idw_15,UTCI_15,Ta_idw_16,RH_idw_16,UTCI_16,Ta_idw_17,RH_idw_17,UTCI_17,Ta_idw_18,RH_idw_18,UTCI_18,Ta_idw_19,RH_idw_19,UTCI_19
10015167771,10015167765,1093508047,footway,2.0,8.063572040319135,23.8839168548584,32.850833892822266,41.855323791503906,51.644248962402344,58.63893127441406,61.1021614074707,62.97813415527344,62.10085678100586,62.72607421875,62.076622009277344,59.69158935546875,56.761962890625,51.164669036865234,43.58980178833008,29.065027555070056,75.16515966640704,30.4,29.260048833563996,74.4588721052299,32.6,30.00099950702066,72.22982587576065,35.3,31.414283166782596,67.50009082800725,38.4,32.718698031654455,63.38864299889275,41.0,34.00050003631688,59.54264310598128,42.3,34.77567564651982,57.105624756394214,43.3,35.53974543990996,54.7767451582165,43.6,35.890357394483836,53.8149596560469,44.0,36.30508367593645,52.601173014683894,44.2,36.34844856539557,52.18272351169865,43.5,35.69809883701532,54.10034865180627,42.1,35.0678383876768,55.812805302063225,40.4,34.16059124463556,58.91981594975969,38.0
10015167765,10015167771,1093508047,footway,2.0,8.063572040319135,23.8839168548584,32.850833892822266,41.855323791503906,51.644248962402344,58.63893127441406,61.1021614074707,62.97813415527344,62.10085678100586,62.72607421875,62.076622009277344,59.69158935546875,56.761962890625,51.164669036865234,43.58980178833008,29.065027555070056,75.16515966640704,30.4,29.260048833563996,74.4588721052299,32.6,30.00099950702066,72.22982587576065,35.3,31.414283166782596,67.50009082800725,38.4,32.718698031654455,63.38864299889275,41.0,34.00050003631688,59.54264310598128,42.3,34.77567564651982,57.105624756394214,43.3,35.53974543990996,54.7767451582165,43.6,35.890357394483836,53.8149596560469,44.0,36.30508367593645,52.601173014683894,44.2,36.34844856539557,52.18272351169865,43.5,35.69809883701532,54.10034865180627,42.1,35.0678383876768,55.812805302063225,40.4,34.16059124463556,58.91981594975969,38.0
8498422137,1855204533,"[174870625, 174870618, 37402052, 1029058213]",primary,20.0,272.6015377491383,24.03874969482422,33.897560119628906,43.146026611328125,53.436859130859375,60.812339782714844,63.44110107421875,65.80300903320312,65.21247863769531,66.06954956054688,64.91010284423828,62.279300689697266,59.556270599365234,54.09511184692383,46.63877868652344,29.066886809772935,75.13931081617885,30.4,29.25781792962765,74.45240464290866,32.8,30.00067843639638,72.22160174356176,35.6,31.415459347150346,67.48932977004532,38.8,32.72070425295504,63.37628182401317,41.5,34.00327384106426,59.5399458402709,42.9,34.777313836643096,57.107813453569825,43.9,35.53897454697129,54.781373750321585,44.4,35.8865449732855,53.83584325756628,44.8,36.3000465510522,52.635460850626494,44.9,36.344910511222395,52.21635329063766,44.1,35.69712829878574,54.12762568731558,42.8,35.06657412492947,55.837364893370975,41.1,34.156481410746665,58.946306481205724,38.7
1855204533,8498422137,"[174870625, 174870618, 37402052, 1029058213]",primary,20.0,272.60153774913834,24.03874969482422,33.897560119628906,43.146026611328125,53.436859130859375,60.812339782714844,63.44110107421875,65.80300903320312,65.21247863769531,66.06954956054688,64.91010284423828,62.279300689697266,59.556270599365234,54.09511184692383,46.63877868652344,29.066886809772928,75.13931081617886,30.4,29.257817929627638,74.4524046429087,32.8,30.000678436396385,72.22160174356176,35.6,31.415459347150353,67.48932977004533,38.8,32.72070425295504,63.376281824013155,41.5,34.00327384106426,59.539945840270896,42.9,34.777313836643096,57.10781345356983,43.9,35.538974546971275,54.78137375032162,44.4,35.886544973285496,53.83584325756635,44.8,36.3000465510522,52.6354608506265,44.9,36.34491051122239,52.2163532906377,44.1,35.69712829878573,54.127625687315586,42.8,35.06657412492947,55.837364893371,41.1,34.15648141074666,58.94630648120574,38.7
4963715662,8450140844,"[506687952, 910081097]",path,2.0,225.76360902879134,23.7663047096946,32.070104425603695,41.6241455078125,52.26153009588068,59.62877863103693,62.27392023259943,64.45733087713069,63.68536376953125,64.14897571910511,62.85839288884943,59.92593106356534,56.59347811612216,50.40233820134943,42.49478426846591,29.071512546713176,75.09518416101668,30.4,29.25710879485915,74.43142431487587,32.4,30.000731356195814,72.20326445164783,35.2,31.41784725064118,67.46609185933103,38.5,32.7239666572073,63.35371045208814,41.2,34.01065582774705,59.53596626749323,42.6,34.78196255542444,57.11032049434106,43.6,35.54097516005052,54.778263769297496,44.0,35.88380190863011,53.853071598582396,44.4,36.29232697935159,52.697555942199244,44.4,36.34106595959517,52.27390085519115,43.6,35.694788083239374,54.17924906793525,42.1,35.06469993421505,55.87948373232882,40.3,34.15058390424542,58.99420998782711,37.7
8450140844,4963715662,"[506687952, 910081097]",footway,2.0,225.7636090287913,23.7663047096946,32.070104425603695,41.6241455078125,52.26153009588068,59.62877863103693,62.27392023259943,64.45733087713069,63.68536376953125,64.14897571910511,62.85839288884943,59.92593106356534,56.59347811612216,50.40233820134943,42.49478426846591,29.071512546713173,75.09518416101665,30.4,29.257108794859143,74.43142431487587,32.4,30.000731356195814,72.2032644516478,35.2,31.41784725064118,67.46609185933102,38.5,32.7239666572073,63.35371045208811,41.2,34.01065582774706,59.53596626749322,42.6,34.78196255542445,57.110320494341074,43.6,35.540975160050515,54.77826376929751,44.0,35.88380190863011,53.853071598582424,44.4,36.29232697935159,52.69755594219927,44.4,36.34106595959517,52.2739008551912,43.6,35.694788083239374,54.17924906793529,42.1,35.06469993421504,55.87948373232886,40.3,34.15058390424541,58.99420998782713,37.7
11123498684,11123498684,"[1199236910, 1199236930, 1199236909, 506687950]",path,2.0,76.09295512479986,24.216827392578125,30.577374776204426,38.92880503336588,47.91412862141927,54.238871256510414,56.60543314615885,59.34143575032552,59.13135782877604,59.96062215169271,59.02857971191406,56.76197306315104,53.830769856770836,48.30090840657552,40.950721740722656,29.06341683250183,75.11236185944153,30.5,29.24541645100665,74.48866086913914,32.0,30.00349586386191,72.21416622971003,34.6,31.4217355726742,67.47936759300222,37.5,32.73102427089704,63.34717291839769,40.0,34.00336226411084,59.52824885091447,41.3,34.774588035573366,57.12851979792536,42.4,35.52746919934163,54.84971877211867,42.9,35.87100214559281,53.94650378854825,43.4,36.29297342718723,52.69021374849249,43.5,36.32616075934064,52.30355387773008,42.8,35.693936133430405,54.18436069733363,41.5,35.06061134375618,55.91377243063077,39.8,34.14451292079241,59.008137312358734,37.4
11123498684,11123498684,"[506687950, 1199236930, 1199236909, 1199236910]",footway,2.0,76.09295512479986,24.216827392578125,30.577374776204426,38.92880503336588,47.91412862141927,54.238871256510414,56.60543314615885,59.34143575032552,59.13135782877604,59.96062215169271,59.02857971191406,56.76197306315104,53.830769856770836,48.30090840657552,40.950721740722656,29.06341683250183,75.11236185944153,30.5,29.24541645100665,74.48866086913914,32.0,30.00349586386191,72.21416622971003,34.6,31.4217355726742,67.47936759300222,37.5,32.73102427089704,63.34717291839769,40.0,34.00336226411084,59.52824885091447,41.3,34.774588035573366,57.12851979792536,42.4,35.52746919934163,54.84971877211867,42.9,35.87100214559281,53.94650378854825,43.4,36.29297342718723,52.69021374849249,43.5,36.32616075934064,52.30355387773008,42.8,35.693936133430405,54.18436069733363,41.5,35.06061134375618,55.91377243063077,39.8,34.14451292079241,59.008137312358734,37.4
4963715662,11123498684,"[506687952, 506687950, 506687951]",path,2.0,136.33499319867522,23.799120221819198,32.52136012486049,41.411285400390625,51.23095267159598,58.220245361328125,60.684827532087056,62.745553152901785,62.091395786830354,62.75177437918527,61.720023018973215,59.131522042410715,56.10258265904018,50.288705008370535,42.645786830357146,29.065498705563062,75.10823997782805,30.4,29.24868678597604,74.47361340582961,32.5,30.003172647063884,72.21004646255174,35.2,31.421194062470658,67.4745538894656,38.3,32.72970199813659,63.347338020383155,40.9,34.00567494905337,59.52925694644934,42.2,34.77683742998958,57.123863010684005,43.2,35.53139822594992,54.83089073506539,43.6,35.874832203495195,53.92046055629207,44.0,36.293443895865316,52.68837097489565,44.1,36.330083161174365,52.294242357720606,43.4,35.69413050550465,54.18247209593221,42.0,35.061775414140044,55.90396014015851,40.3,34.14631629057582,59.00260248530167,37.8
11123498684,4963715662,"[506687952, 506687950, 506687951]",path,2.0,136.3349931986752,23.799120221819198,32.52136012486049,41.411285400390625,51.23095267159598,58.220245361328125,60.684827532087056,62.745553152901785,62.091395786830354,62.75177437918527,61.720023018973215,59.131522042410715,56.10258265904018,50.288705008370535,42.645786830357146,29.06549870556306,75.10823997782806,30.4,29.248686785976037,74.4736134058296,32.5,30.00317264706388,72.21004646255174,35.2,31.421194062470647,67.4745538894656,38.3,32.72970199813659,63.34733802038317,40.9,34.005674949053365,59.52925694644934,42.2,34.77683742998958,57.12386301068399,43.2,35.53139822594992,54.83089073506538,43.6,35.87483220349522,53.92046055629207,44.0,36.29344389586531,52.68837097489561,44.1,36.330083161174365,52.29424235772059,43.4,35.69413050550466,54.18247209593219,42.0,35.061775414140044,55.90396014015849,40.3,34.14631629057582,59.00260248530166,37.8
