station,hour,nodes_38,nodes_42_7,extra_nodes,pct_diff
응봉역 인근,6,809,809,0,0.0
성수역 인근,6,575,575,0,0.0
응봉역 인근,7,809,809,0,0.0
성수역 인근,7,575,575,0,0.0
응봉역 인근,8,809,809,0,0.0
성수역 인근,8,575,575,0,0.0
응봉역 인근,9,50,809,759,1518.0
성수역 인근,9,134,575,441,329.1
응봉역 인근,10,1,809,808,80800.0
성수역 인근,10,1,575,574,57400.0
응봉역 인근,11,1,116,115,11500.0
성수역 인근,11,1,169,168,16800.0
응봉역 인근,12,1,1,0,0.0
성수역 인근,12,1,1,0,0.0
응봉역 인근,13,1,1,0,0.0
성수역 인근,13,1,1,0,0.0
응봉역 인근,14,1,1,0,0.0
성수역 인근,14,1,1,0,0.0
응봉역 인근,15,1,1,0,0.0
성수역 인근,15,1,1,0,0.0
응봉역 인근,16,1,1,0,0.0
성수역 인근,16,1,1,0,0.0
응봉역 인근,17,1,96,95,9500.0
성수역 인근,17,1,166,165,16500.0
응봉역 인근,18,1,809,808,80800.0
성수역 인근,18,1,575,574,57400.0
응봉역 인근,19,495,809,314,63.4
성수역 인근,19,239,575,336,140.6
