TOT_REG_CD,ADM_NM,net_node,hour,threshold,opp_CA,opp_TCA,reduction_pct
1101053010006,사직동,2401628725,8,38.0,39,39,0.0
1101053010001,사직동,4593020343,8,38.0,63,63,0.0
1101053010003,사직동,436868474,8,38.0,58,58,0.0
1101053010002,사직동,2419990323,8,38.0,46,46,0.0
1101053010005,사직동,10796533697,8,38.0,47,47,0.0
1101053010004,사직동,2419990301,8,38.0,51,51,0.0
1101053020004,사직동,2304578282,8,38.0,64,64,0.0
1101053020002,사직동,5202254468,8,38.0,65,65,0.0
1101053020003,사직동,10865329354,8,38.0,66,66,0.0
1101053020001,사직동,11377834265,8,38.0,50,50,0.0
1101053020303,사직동,2304578273,8,38.0,71,71,0.0
1101053020301,사직동,2304578262,8,38.0,62,62,0.0
1101053020304,사직동,2064388666,8,38.0,66,66,0.0
1101053020302,사직동,2323213990,8,38.0,60,60,0.0
1101053020501,사직동,2420018582,8,38.0,55,55,0.0
1101053020701,사직동,11377834263,8,38.0,64,64,0.0
1101053020801,사직동,11377834318,8,38.0,60,60,0.0
1101054010002,삼청동,3844428219,8,38.0,10,10,0.0
1101054010005,삼청동,8485461759,8,38.0,24,24,0.0
1101054010004,삼청동,4627685400,8,38.0,48,48,0.0
1101054010001,삼청동,10588603644,8,38.0,65,65,0.0
1101054010003,삼청동,892625706,8,38.0,40,40,0.0
1101055010001,부암동,2279623775,8,38.0,38,38,0.0
1101055010003,부암동,4294500724,8,38.0,41,41,0.0
1101055010002,부암동,2279623757,8,38.0,36,36,0.0
1101055010005,부암동,4590239200,8,38.0,32,32,0.0
1101055010004,부암동,2296751943,8,38.0,28,28,0.0
1101055010006,부암동,8482466684,8,38.0,37,37,0.0
1101055020008,부암동,4590260274,8,38.0,13,13,0.0
1101055020009,부암동,7682243008,8,38.0,6,6,0.0
1101055020006,부암동,7682242914,8,38.0,26,26,0.0
1101055020007,부암동,4590262524,8,38.0,33,33,0.0
1101055020004,부암동,4590214480,8,38.0,38,38,0.0
1101055020005,부암동,4590262519,8,38.0,38,38,0.0
1101055020002,부암동,3098663231,8,38.0,16,16,0.0
1101055020003,부암동,4590260266,8,38.0,15,15,0.0
1101055020011,부암동,8482431951,8,38.0,30,30,0.0
1101055020001,부암동,4294500725,8,38.0,42,42,0.0
1101055020010,부암동,4590214464,8,38.0,40,40,0.0
1101055030002,부암동,4593166088,8,38.0,8,8,0.0
1101055030001,부암동,4593188615,8,38.0,19,19,0.0
1101055030003,부암동,8482494526,8,38.0,13,13,0.0
1101056010006,평창동,2305266918,8,38.0,38,38,0.0
1101056010001,평창동,6467485027,8,38.0,32,32,0.0
1101056010003,평창동,2305266936,8,38.0,23,23,0.0
1101056010002,평창동,2305266954,8,38.0,37,37,0.0
1101056010005,평창동,2305266920,8,38.0,36,36,0.0
1101056010004,평창동,2296748654,8,38.0,37,37,0.0
1101056020013,평창동,10956655344,8,38.0,0,0,0.0
1101056020010,평창동,8481661402,8,38.0,6,6,0.0
1101056020011,평창동,439213545,8,38.0,2,2,0.0
1101056020001,평창동,2523186480,8,38.0,12,12,0.0
1101056020018,평창동,2523186369,8,38.0,12,12,0.0
1101056020019,평창동,8482533118,8,38.0,19,19,0.0
1101056020006,평창동,2523186329,8,38.0,18,18,0.0
1101056020007,평창동,2523186650,8,38.0,13,13,0.0
1101056020004,평창동,2523186371,8,38.0,16,16,0.0
1101056020005,평창동,2304465036,8,38.0,28,28,0.0
1101056020002,평창동,7919488179,8,38.0,26,26,0.0
1101056020003,평창동,2523186260,8,38.0,19,19,0.0
1101056020022,평창동,2523185986,8,38.0,25,25,0.0
1101056020023,평창동,8482524202,8,38.0,11,11,0.0
1101056020020,평창동,2296757631,8,38.0,30,30,0.0
1101056020021,평창동,2304464934,8,38.0,28,28,0.0
1101056020008,평창동,439214920,8,38.0,18,18,0.0
