station,net_node,hour,threshold,nodes_CA,nodes_TCA,reduction_pct
한성대입구,5973684086,6,38.0,1088,1088,0.0
제기동,9655918649,6,38.0,1288,1288,0.0
신이문,3831106833,6,38.0,1042,1042,0.0
회기,9776882774,6,38.0,1756,1756,0.0
월계,3834716670,6,38.0,300,300,0.0
녹천,3834717475,6,38.0,227,227,0.0
광운대,436854528,6,38.0,396,396,0.0
창동,3834608837,6,38.0,424,424,0.0
방학,3846919916,6,38.0,688,688,0.0
오류동,8508812072,6,38.0,98,98,0.0
개봉,5442986444,6,38.0,390,390,0.0
구일,3210749463,6,38.0,272,272,0.0
일원,9454279402,6,38.0,208,208,0.0
양원,9534964626,6,38.0,911,911,0.0
한남,3852156874,6,38.0,249,249,0.0
수색,11944713936,6,38.0,364,364,0.0
940정거장,3011994542,6,38.0,315,315,0.0
중랑,10138603166,6,38.0,1617,1617,0.0
망우,9760894592,6,38.0,1800,1800,0.0
국회의사당,2932339394,6,38.0,587,587,0.0
노들,4627760504,6,38.0,448,448,0.0
신설동,13227969660,6,38.0,1231,1231,0.0
용답,2460188229,6,38.0,807,807,0.0
신촌,13683819523,6,38.0,2215,2215,0.0
수서,6299196105,6,38.0,236,236,0.0
충정로,3893042379,6,38.0,1387,1387,0.0
서강대,5221755996,6,38.0,2111,2111,0.0
종로5가,436883169,6,38.0,1678,1678,0.0
고속터미널,9798531671,6,38.0,689,689,0.0
청량리,10121691848,6,38.0,1413,1413,0.0
봉은사,595750357,6,38.0,602,602,0.0
언주,414684639,6,38.0,1033,1033,0.0
삼성중앙,595750358,6,38.0,682,682,0.0
사평,13512489422,6,38.0,789,789,0.0
선정릉,2110338712,6,38.0,804,804,0.0
신논현,8376423650,6,38.0,1082,1082,0.0
외대앞,3831105923,6,38.0,1212,1212,0.0
구반포,11641428792,6,38.0,381,381,0.0
흑석,436881334,6,38.0,262,262,0.0
신반포,10918075302,6,38.0,556,556,0.0
온수,4987997944,6,38.0,269,269,0.0
왕십리,9083521281,6,38.0,1411,1411,0.0
응봉,13780851569,6,38.0,76,76,0.0
도봉,7006105399,6,38.0,659,659,0.0
서빙고,12874837067,6,38.0,295,295,0.0
양재,11431861586,6,38.0,940,940,0.0
이촌,4172393733,6,38.0,454,454,0.0
복정,11330600853,6,38.0,392,392,0.0
독산,4095041979,6,38.0,268,268,0.0
신내,9810803930,6,38.0,662,662,0.0
금천구청,5308009219,6,38.0,605,605,0.0
암사역사공원,436817489,6,38.0,476,476,0.0
보문,436873184,6,38.0,1115,1115,0.0
동작,7660036116,6,38.0,204,204,0.0
서울,10013086401,6,38.0,830,830,0.0
도곡,5403582157,6,38.0,462,462,0.0
김포공항,2353543144,6,38.0,522,522,0.0
동대문역사문화공원,8496801700,6,38.0,1850,1850,0.0
구로,8918160546,6,38.0,533,533,0.0
북한산보국문,3841557294,6,38.0,582,582,0.0
안국,436867523,6,38.0,1297,1297,0.0
강일,13093833784,6,38.0,347,347,0.0
천호,999136673,6,38.0,1051,1051,0.0
서원,1835221331,6,38.0,1227,1227,0.0
동대문,3830591792,6,38.0,1671,1671,0.0
삼각지,5589627062,6,38.0,902,902,0.0
도봉산,5246596481,6,38.0,477,477,0.0
도봉산,5246596482,6,38.0,488,488,0.0
영등포,11459128410,6,38.0,783,783,0.0
노량진,3785111388,6,38.0,417,417,0.0
용산,10816124190,6,38.0,415,415,0.0
종각,11198015018,6,38.0,1508,1508,0.0
건대입구,2613069963,6,38.0,1123,1123,0.0
가좌,5756085341,6,38.0,950,950,0.0
남영,7836289839,6,38.0,867,867,0.0
대방,4617447369,6,38.0,306,306,0.0
응암,8735757178,6,38.0,2062,2062,0.0
합정,5215341441,6,38.0,1477,1477,0.0
동묘앞,4170064719,6,38.0,1658,1658,0.0
고려대,5404768239,6,38.0,1585,1585,0.0
홍대입구,11841458495,6,38.0,2240,2240,0.0
디지털미디어시티,9891051186,6,38.0,182,182,0.0
선릉,2280678836,6,38.0,766,766,0.0
강남구청,2282830004,6,38.0,911,911,0.0
강남,7168335697,6,38.0,1287,1287,0.0
가락시장,10939998666,6,38.0,266,266,0.0
을지로3가,7694743853,6,38.0,1932,1932,0.0
불광,11228575654,6,38.0,1358,1358,0.0
구의,3958847218,6,38.0,330,330,0.0
강변,1850655113,6,38.0,359,359,0.0
잠실나루,5159105401,6,38.0,251,251,0.0
옥수,3851466435,6,38.0,215,215,0.0
충무로,3846576172,6,38.0,1502,1502,0.0
약수,3846603560,6,38.0,839,839,0.0
교대,3355067052,6,38.0,895,895,0.0
오금,3278844051,6,38.0,992,992,0.0
한양대,8992783196,6,38.0,906,906,0.0
성수,2551966241,6,38.0,805,805,0.0
시청,3404904658,6,38.0,1074,1074,0.0
을지로입구,436830313,6,38.0,1494,1494,0.0
을지로4가,10296582868,6,38.0,1599,1599,0.0
신당,414685846,6,38.0,1733,1733,0.0
상왕십리,11127349744,6,38.0,1796,1796,0.0
신촌,5937884691,6,38.0,2707,2707,0.0
이대,9283138042,6,38.0,1934,1934,0.0
아현,1936511359,6,38.0,1758,1758,0.0
마곡나루,4019735070,6,38.0,568,568,0.0
당산,3216944261,6,38.0,692,692,0.0
문래,11455185928,6,38.0,1223,1223,0.0
신도림,5344219251,6,38.0,229,229,0.0
구로디지털단지,4624772818,6,38.0,665,665,0.0
신대방,4624808762,6,38.0,578,578,0.0
신림,5404739367,6,38.0,1212,1212,0.0
봉천,5404739628,6,38.0,1274,1274,0.0
서울대입구,5406451695,6,38.0,959,959,0.0
낙성대,5406462591,6,38.0,618,618,0.0
방배,8471989456,6,38.0,421,421,0.0
서초,3221788784,6,38.0,652,652,0.0
역삼,2280678732,6,38.0,948,948,0.0
삼성,733859380,6,38.0,606,606,0.0
종합운동장,1430639131,6,38.0,362,362,0.0
잠실새내,2957013438,6,38.0,642,642,0.0
잠실,7877518993,6,38.0,415,415,0.0
양천구청,3380999909,6,38.0,471,471,0.0
신정네거리,9572122970,6,38.0,759,759,0.0
도림천,4630961655,6,38.0,567,567,0.0
경찰병원,1812000920,6,38.0,649,649,0.0
대청,2927282422,6,38.0,495,495,0.0
학여울,4643770712,6,38.0,520,520,0.0
대치,2281644495,6,38.0,618,618,0.0
매봉,5406359683,6,38.0,583,583,0.0
남부터미널,436864976,6,38.0,743,743,0.0
잠원,4634374794,6,38.0,513,513,0.0
신사,8489501829,6,38.0,1026,1026,0.0
압구정,9891581229,6,38.0,1171,1171,0.0
금호,4201516987,6,38.0,552,552,0.0
동대입구,436870722,6,38.0,1131,1131,0.0
경복궁,6033544429,6,38.0,1196,1196,0.0
