GU_NM,감소율_09h,감소율_19h,총인구,고령비율_65+,고령비율_80+,녹지비율
동대문구,93.33715773809524,53.806979166666665,366923,19.8,4.7,17.5
송파구,82.1984668989547,50.31384146341463,649759,18.4,3.4,19.3
노원구,90.06956475583864,49.06333333333334,489003,21.4,4.9,53.9
용산구,88.57418491484185,48.435231143552315,214984,18.8,4.8,31.5
영등포구,85.70329819277109,47.46935240963855,395248,18.6,4.2,15.8
중구,89.61299578059071,45.7748523206751,128444,21.5,5.4,20.1
서초구,78.12536121673004,45.4330164765526,419295,17.2,3.8,50.4
강동구,77.30861979166666,45.373046875,503997,19.5,3.5,24.8
성동구,92.67058270676692,45.028853383458646,282714,18.9,4.4,18.7
양천구,86.29914719626169,42.74156542056075,428537,19.7,3.8,25.3
도봉구,87.93206219312601,42.11769230769231,303051,25.8,6.0,49.4
종로구,94.1766552901024,41.62952218430034,148813,20.8,5.5,51.1
중랑구,88.89800528401584,40.93992073976222,383764,23.0,4.9,31.7
강서구,73.55451790633609,40.300606060606064,556370,20.4,4.1,28.8
금천구,79.84210144927536,39.51763285024155,237562,21.3,4.4,27.1
구로구,82.889338731444,38.68430499325236,408238,21.6,4.5,28.8
서대문구,82.30316521739131,37.23210434782609,316832,19.7,5.1,29.4
마포구,76.53007032348805,36.43701828410689,369364,16.8,4.3,21.2
광진구,65.747872,36.103728,349117,18.0,3.9,22.2
동작구,86.629375,35.63143895348837,384281,19.8,4.6,31.0
성북구,86.91179706601467,35.22408312958435,437496,20.0,4.9,41.3
강남구,77.54124872057318,34.120614124872056,562508,17.0,3.5,30.9
관악구,80.18536343612334,33.57538546255507,497391,18.7,4.3,48.4
은평구,79.74697624190064,27.683034557235423,459586,22.3,5.3,46.0
강북구,87.3363122923588,18.45700996677741,285900,26.0,6.4,57.9
