station,threshold,hour,classic_nodes,thermal_nodes,reduction_pct
응봉역 인근,38.0,06,444,444,0.0
성수역 인근,38.0,06,913,913,0.0
응봉역 인근,38.0,07,444,444,0.0
성수역 인근,38.0,07,913,913,0.0
응봉역 인근,38.0,08,444,444,0.0
성수역 인근,38.0,08,913,913,0.0
응봉역 인근,38.0,09,444,1,99.8
성수역 인근,38.0,09,913,1,99.9
응봉역 인근,38.0,10,444,1,99.8
성수역 인근,38.0,10,913,1,99.9
응봉역 인근,38.0,11,444,1,99.8
성수역 인근,38.0,11,913,1,99.9
응봉역 인근,38.0,12,444,1,99.8
성수역 인근,38.0,12,913,1,99.9
응봉역 인근,38.0,13,444,1,99.8
성수역 인근,38.0,13,913,1,99.9
응봉역 인근,38.0,14,444,1,99.8
성수역 인근,38.0,14,913,1,99.9
응봉역 인근,38.0,15,444,1,99.8
성수역 인근,38.0,15,913,1,99.9
응봉역 인근,38.0,16,444,1,99.8
성수역 인근,38.0,16,913,1,99.9
응봉역 인근,38.0,17,444,1,99.8
성수역 인근,38.0,17,913,1,99.9
응봉역 인근,38.0,18,444,1,99.8
성수역 인근,38.0,18,913,1,99.9
응봉역 인근,38.0,19,444,7,98.4
성수역 인근,38.0,19,913,1,99.9
응봉역 인근,42.4,06,444,444,0.0
성수역 인근,42.4,06,913,913,0.0
응봉역 인근,42.4,07,444,444,0.0
성수역 인근,42.4,07,913,913,0.0
응봉역 인근,42.4,08,444,444,0.0
성수역 인근,42.4,08,913,913,0.0
응봉역 인근,42.4,09,444,444,0.0
성수역 인근,42.4,09,913,913,0.0
응봉역 인근,42.4,10,444,444,0.0
성수역 인근,42.4,10,913,913,0.0
응봉역 인근,42.4,11,444,1,99.8
성수역 인근,42.4,11,913,1,99.9
응봉역 인근,42.4,12,444,1,99.8
성수역 인근,42.4,12,913,1,99.9
응봉역 인근,42.4,13,444,1,99.8
성수역 인근,42.4,13,913,1,99.9
응봉역 인근,42.4,14,444,1,99.8
성수역 인근,42.4,14,913,1,99.9
응봉역 인근,42.4,15,444,1,99.8
성수역 인근,42.4,15,913,1,99.9
응봉역 인근,42.4,16,444,1,99.8
성수역 인근,42.4,16,913,1,99.9
응봉역 인근,42.4,17,444,3,99.3
성수역 인근,42.4,17,913,1,99.9
응봉역 인근,42.4,18,444,444,0.0
성수역 인근,42.4,18,913,913,0.0
응봉역 인근,42.4,19,444,444,0.0
성수역 인근,42.4,19,913,913,0.0
