n_links,candidate_edge,ADM_NM,opp_recovered,cum_recovered,cum_pct_of_total_loss
1,107992-182906,화곡8동,58,58,0.008683440678625861
2,107992-35641,화곡8동,57,115,0.017217166862792652
3,35709-35710,화곡8동,53,168,0.025152035069123183
4,107785-57311,화곡4동,51,219,0.03278747428653558
5,35709-53257,화곡8동,50,269,0.040273199009488905
6,135954-147142,화곡8동,50,319,0.047758923732442234
7,35981-53258,화곡8동,48,367,0.05494521946647743
8,60302-57356,화곡4동,47,414,0.06198180070605356
9,135954-56542,화곡8동,46,460,0.06886866745117061
10,102678-53258,화곡2동,43,503,0.07530639071291048
11,60362-60341,화곡2동,41,544,0.08144468498573221
12,35981-35980,화곡8동,41,585,0.08758297925855393
13,60362-60348,화곡2동,40,625,0.09357155903691661
14,35972-53261,화곡2동,40,665,0.09956013881527927
15,60302-60297,화곡4동,39,704,0.10539900409918285
16,60362-60349,화곡2동,39,743,0.11123786938308645
17,60302-60301,화곡4동,39,782,0.11707673466699005
18,35972-35741,화곡2동,37,819,0.1226161709619755
19,144684-144714,갈현2동,37,856,0.12815560725696096
20,182375-182357,서교동,37,893,0.13369504355194645
21,144751-144750,갈현2동,36,929,0.13908476535247286
22,13392-13391,가산동,34,963,0.1441750581640811
23,181014-181015,서강동,33,996,0.1491156364812303
24,182375-182356,서교동,33,1029,0.15405621479837947
25,126096-13388,가산동,33,1062,0.1589967931155287
26,112372-112386,도화동,33,1095,0.1639373714326779
27,144708-144690,갈현2동,30,1125,0.16842880626644988
28,93293-93296,상도3동,30,1155,0.1729202411002219
29,107597-213451,가양2동,29,1184,0.1772619614395348
30,28655-79462,번2동,28,1212,0.18145396728438867
31,28657-29107,번2동,28,1240,0.18564597312924253
32,144552-144551,갈현1동,28,1268,0.1898379789740964
33,28657-29110,번2동,28,1296,0.19402998481895029
34,28655-79463,번2동,28,1324,0.19822199066380414
35,28611-29110,번2동,28,1352,0.202413996508658
36,106154-106145,용강동,27,1379,0.2064562878590528
37,77626-77624,용강동,27,1406,0.21049857920944756
38,33251-145825,구로3동,27,1433,0.2145408705598424
39,145319-145377,화곡4동,27,1460,0.2185831619102372
40,126092-126094,가산동,27,1487,0.22262545326063196
41,182334-182335,서교동,26,1513,0.22651803011656768
42,18939-18006,자양3동,26,1539,0.23041060697250346
43,18043-18042,자양3동,26,1565,0.23430318382843918
44,100844-100846,구로4동,26,1591,0.2381957606843749
45,93137-126805,상도3동,26,1617,0.24208833754031062
46,126451-126461,상도3동,26,1643,0.24598091439624636
47,100844-100843,구로4동,25,1668,0.24972377675772303
48,88292-88291,중곡4동,25,1693,0.2534666391191997
49,132339-132330,응암2동,25,1718,0.25720950148067634
50,181986-181984,연남동,25,1743,0.260952363842153
51,145256-145260,등촌2동,25,1768,0.2646952262036297
52,18007-18942,자양3동,25,1793,0.26843808856510637
53,31576-143792,가리봉동,25,1818,0.272180950926583
54,183852-183850,남가좌2동,25,1843,0.27592381328805965
55,66587-79463,번2동,25,1868,0.27966667564953634
56,66587-66589,번2동,25,1893,0.283409538011013
57,100883-188703,구로5동,24,1917,0.2870026858780306
58,88292-88295,중곡4동,24,1941,0.29059583374504816
59,214611-77553,용강동,24,1965,0.2941889816120658
60,163296-163295,방배본동,24,1989,0.2977821294790834
61,91078-91080,반포4동,24,2013,0.301375277346101
62,20754-20753,갈현2동,24,2037,0.30496842521311857
63,91078-91079,반포4동,24,2061,0.3085615730801362
64,144704-144703,갈현2동,24,2085,0.3121547209471538
65,113939-113938,노량진2동,23,2108,0.31559815431971233
66,91078-91564,반포4동,23,2131,0.3190415876922708
67,126484-95117,상도4동,23,2154,0.32248502106482935
68,69046-69045,공덕동,23,2177,0.32592845443738794
69,52744-52949,등촌3동,23,2200,0.3293718878099464
70,52744-52745,등촌3동,23,2223,0.33281532118250495
71,145375-145376,화곡4동,23,2246,0.3362587545550635
72,171681-171679,면목4동,23,2269,0.339702187927622
73,145319-145318,화곡4동,23,2292,0.34314562130018056
74,182281-182282,성산1동,23,2315,0.3465890546727391
75,154587-154586,응암3동,22,2337,0.3498827735508385
76,146803-146801,구산동,22,2359,0.353176492428938
