TOT_REG_CD,ADM_NM,net_node,candidate_edge,ca,tca_before,opp_recovered,recovery_pct_of_loss
1101053020304,사직동,129905,129905-129908,43,0,1,2.3
1101056010005,평창동,128366,128366-128365,18,0,8,44.4
1101056020004,평창동,128630,128630-128631,11,1,1,10.0
1101057010103,무악동,128574,128574-128572,36,0,7,19.4
1101057010302,무악동,128181,128181-128182,33,0,4,12.1
1101057010302,무악동,128181,128181-152900,33,0,4,12.1
1101057010401,무악동,128526,128526-67179,18,0,3,16.7
1101058020001,교남동,71395,71395-167327,66,0,2,3.0
1101060010003,가회동,133823,133823-133824,30,0,3,10.0
1101060010003,가회동,133823,133823-133822,30,0,6,20.0
1101061030003,종로1·2·3·4가동,135570,135570-165577,60,0,1,1.7
1101061030002,종로1·2·3·4가동,134233,134233-134255,66,0,7,10.6
1101061030601,종로1·2·3·4가동,134392,134392-134391,68,0,6,8.8
1101061030601,종로1·2·3·4가동,134392,134392-134450,68,0,1,1.5
1101063030003,종로5·6가동,142629,142629-142386,53,0,3,5.7
1101064020002,이화동,137713,137713-137718,51,0,1,2.0
1101068010019,창신2동,149835,149835-149823,28,0,2,7.1
1101070010006,숭인1동,159420,159420-93901,48,0,5,10.4
1101071010007,숭인2동,93758,93758-93761,45,0,1,2.2
1101072010014,청운효자동,129375,129375-129368,32,0,1,3.1
1101072010008,청운효자동,129333,129333-14337,27,0,1,3.7
1101072020003,청운효자동,146233,146233-146212,15,0,3,20.0
1101072020003,청운효자동,146233,146233-146232,15,0,3,20.0
1101072020003,청운효자동,146233,146233-146234,15,0,3,20.0
1101073010003,혜화동,87141,87141-93719,55,0,6,10.9
1101073020003,혜화동,163996,163996-163997,34,0,3,8.8
1101073020008,혜화동,135223,135223-135224,34,5,1,3.4
1101073020011,혜화동,136026,136026-162394,39,0,1,2.6
1101073020011,혜화동,136026,136026-135947,39,0,1,2.6
1101073020014,혜화동,136015,136015-135994,35,0,1,2.9
1101073040001,혜화동,137359,137359-137357,41,0,3,7.3
1101069010403,창신3동,154061,154061-99460,30,0,1,3.3
1125051010001,강일동,200950,200950-31077,15,0,1,6.7
1125051010405,강일동,70235,70235-70234,25,0,1,4.0
1125051010601,강일동,86541,86541-86542,26,0,2,7.7
1125051010602,강일동,86545,86545-86549,23,0,2,8.7
1125051010604,강일동,70242,70242-201092,26,0,2,7.7
1125051020108,강일동,70116,70116-70121,23,0,4,17.4
1125051020115,강일동,70160,70160-70159,21,0,4,19.0
1125051020111,강일동,69786,69786-69784,22,0,4,18.2
1125051020102,강일동,201266,201266-33525,26,4,1,4.5
1125051020101,강일동,70202,70202-70203,18,0,4,22.2
1125051020114,강일동,70166,70166-70165,20,0,4,20.0
1125051020114,강일동,70166,70166-70167,20,0,5,25.0
1125052040005,상일동,56349,56349-201049,26,4,2,9.1
1125052040005,상일동,56349,56349-56348,26,4,3,13.6
1125052040001,상일동,17353,17353-17352,18,0,1,5.6
1125052040002,상일동,56348,56348-56349,26,6,1,5.0
1125053020112,명일1동,80896,80896-126793,54,0,2,3.7
1125053020403,명일1동,103568,103568-103569,40,0,1,2.5
1125054010309,명일2동,131339,131339-131338,47,1,2,4.3
1125054010304,명일2동,103613,103613-103612,35,0,2,5.7
1125054010304,명일2동,103613,103613-103614,35,0,2,5.7
1125054010306,명일2동,131490,131490-131489,30,0,2,6.7
1125056020004,고덕2동,125981,125981-173607,17,0,1,5.9
1125056020004,고덕2동,125981,125981-67470,17,0,1,5.9
1125056020002,고덕2동,67478,67478-126922,20,0,3,15.0
1125061010004,천호1동,178036,178036-178085,35,5,3,10.0
1125061010007,천호1동,178028,178028-178026,33,0,8,24.2
1125061010007,천호1동,178028,178028-178030,33,0,1,3.0
1125061010014,천호1동,178054,178054-178053,35,0,2,5.7
1125061010014,천호1동,178054,178054-178080,35,0,1,2.9
1125061010014,천호1동,178054,178054-177996,35,0,1,2.9
1125061020301,천호1동,24942,24942-24941,53,8,1,2.2
1125063010022,천호3동,172292,172292-172235,41,0,5,12.2
1125063010022,천호3동,172292,172292-172289,41,0,3,7.3
1125063010031,천호3동,155245,155245-155244,44,0,6,13.6
1125063010031,천호3동,155245,155245-155254,44,0,9,20.5
1125063010002,천호3동,125143,125143-125139,43,0,4,9.3
1125063010002,천호3동,125143,125143-125141,43,0,1,2.3
1125063020401,천호3동,23904,23904-23905,48,6,7,16.7
1125065020012,성내1동,47468,47468-47496,34,0,5,14.7
1125065022401,성내1동,47507,47507-47508,32,4,3,10.7
1125066010011,성내2동,63747,63747-63750,40,0,7,17.5
1125066010009,성내2동,64660,64660-64535,43,11,1,3.1
1125066010009,성내2동,64660,64660-64536,43,11,1,3.1
1125066020014,성내2동,80112,80112-80111,43,0,10,23.3
1125066020018,성내2동,64695,64695-80626,46,13,2,6.1
1125066020018,성내2동,64695,64695-64494,46,13,2,6.1
1125067010007,성내3동,56123,56123-56168,53,0,8,15.1
1125067010018,성내3동,82622,82622-82621,55,8,1,2.1
1125067010018,성내3동,82622,82622-82599,55,8,1,2.1
1125070010107,둔촌1동,183184,183184-183186,45,1,8,18.2
1125070010101,둔촌1동,126787,126787-183170,50,0,1,2.0
