hour,MAE_Tmrt,RMSE_Tmrt,r_Tmrt,MAE_UTCI,RMSE_UTCI,r_UTCI,HardCut38_agree_pct,n_valid_px
6,0.08916615,0.16513693,0.9659427901495077,0.02167509,0.040142685,0.9659433414803715,100.0,1153040
7,0.49712077,0.9706868,0.898244949882887,0.11941296,0.2331523,0.8982928803630534,100.0,1153040
8,0.8389668,1.5810803,0.9200926784141747,0.19887894,0.37487,0.9200927516095061,100.0,1153040
9,1.1674018,2.4542003,0.902806673260229,0.27186716,0.5711919,0.9028585632332167,90.0202074516062,1153040
10,1.3506731,2.9512894,0.8963467269373216,0.31595668,0.68834776,0.8966197292774761,97.26687712481788,1153040
11,1.1929185,2.6096053,0.9085809223766492,0.27853873,0.6059544,0.9089698124560396,99.38917990702838,1153040
12,1.0873543,2.5969505,0.9144395235163566,0.25618085,0.60649526,0.914746651404793,99.75612294456394,1153040
13,0.96289223,2.1319258,0.9308087737332988,0.22799456,0.50085884,0.9306696317185537,99.5872649691251,1153040
14,1.0347252,2.4217863,0.9195597641009858,0.24502602,0.5685853,0.9195092421958834,99.65820786789705,1153040
15,1.1591688,2.5785017,0.9053689107492646,0.27331436,0.6040181,0.9052968756784324,99.5439013390689,1153040
16,1.2353058,2.6513994,0.8942602597613369,0.28664702,0.61218464,0.8943175061349063,99.55691042808576,1153040
17,1.4430007,3.231042,0.8679714758531321,0.3284362,0.7329546,0.8679618298199113,98.098765003816,1153040
18,1.4686109,3.2789924,0.8582593691733219,0.33234978,0.74111557,0.8580115254700343,94.60712551169084,1153040
19,1.2186048,2.6973932,0.8575649958002669,0.271291,0.6006945,0.8572507190395541,94.06993686255464,1153040
