TOT_REG_CD,ADM_NM,reduction_pct,cluster
1101053010001,사직동,60.32,0
1101053010002,사직동,39.13,0
1101053010003,사직동,43.1,1
1101053010004,사직동,52.94,0
1101053010005,사직동,51.06,0
1101053010006,사직동,35.9,0
1101053020001,사직동,82.0,1
1101053020002,사직동,83.08,1
1101053020003,사직동,56.06,0
1101053020004,사직동,65.62,1
1101053020301,사직동,90.32,1
1101053020302,사직동,100.0,4
1101053020303,사직동,69.01,1
1101053020304,사직동,100.0,1
1101053020501,사직동,98.18,1
1101053020701,사직동,82.81,1
1101053020801,사직동,86.67,1
1101054010001,삼청동,100.0,0
1101054010002,삼청동,0.0,2
1101054010003,삼청동,100.0,0
1101054010004,삼청동,95.83,1
1101054010005,삼청동,100.0,0
1101055010001,부암동,15.79,3
1101055010002,부암동,11.11,3
1101055010003,부암동,9.76,3
1101055010004,부암동,25.0,0
1101055010005,부암동,25.0,0
1101055010006,부암동,13.51,3
1101055020001,부암동,9.52,3
1101055020002,부암동,62.5,0
1101055020003,부암동,60.0,0
1101055020004,부암동,15.79,0
1101055020005,부암동,15.79,0
1101055020006,부암동,26.92,0
1101055020007,부암동,100.0,0
1101055020008,부암동,53.85,0
1101055020009,부암동,100.0,0
1101055020010,부암동,17.5,0
1101055020011,부암동,20.0,0
1101055030001,부암동,63.16,0
1101055030002,부암동,12.5,0
1101055030003,부암동,30.77,0
1101056010001,평창동,6.25,3
1101056010002,평창동,2.7,3
1101056010003,평창동,0.0,3
1101056010004,평창동,5.41,3
1101056010005,평창동,5.56,3
1101056010006,평창동,7.89,3
1101056020001,평창동,0.0,3
1101056020002,평창동,0.0,3
1101056020003,평창동,15.79,0
1101056020004,평창동,12.5,0
1101056020005,평창동,7.14,3
1101056020006,평창동,38.89,0
1101056020007,평창동,23.08,2
1101056020008,평창동,11.11,0
1101056020009,평창동,23.81,0
1101056020010,평창동,0.0,3
1101056020011,평창동,0.0,3
1101056020012,평창동,25.0,0
1101056020013,평창동,0.0,3
1101056020014,평창동,30.77,0
1101056020015,평창동,14.29,0
1101056020016,평창동,57.14,4
1101056020017,평창동,0.0,3
1101056020018,평창동,100.0,4
1101056020019,평창동,26.32,0
1101056020020,평창동,6.67,3
1101056020021,평창동,17.86,0
1101056020022,평창동,20.0,0
1101056020023,평창동,100.0,0
1101056030001,평창동,88.89,0
1101056030002,평창동,90.91,0
1101056030003,평창동,89.47,1
1101056030004,평창동,33.33,0
1101056030101,평창동,18.18,0
1101056030401,평창동,90.91,1
1101056030601,평창동,100.0,1
1101056030701,평창동,61.11,1
1101057010001,무악동,83.33,1
1101057010002,무악동,43.75,1
1101057010101,무악동,100.0,1
1101057010102,무악동,63.33,0
1101057010103,무악동,82.5,1
1101057010104,무악동,76.74,1
1101057010105,무악동,76.92,1
1101057010106,무악동,100.0,1
1101057010107,무악동,69.7,1
1101057010108,무악동,100.0,4
1101057010301,무악동,81.63,1
1101057010302,무악동,71.43,1
1101057010303,무악동,100.0,1
1101057010304,무악동,100.0,1
1101057010305,무악동,100.0,1
1101057010401,무악동,100.0,1
1101058010001,교남동,100.0,1
1101058010002,교남동,64.41,1
1101058010003,교남동,63.79,1
1101058010004,교남동,62.26,1
1101058010005,교남동,66.18,1
1101058010006,교남동,77.33,0
1101058010007,교남동,59.57,0
1101058010008,교남동,71.43,1
1101058020001,교남동,25.68,2
1101058030001,교남동,32.14,0
1101060010001,가회동,48.28,0
1101060010002,가회동,36.0,0
1101060010003,가회동,50.0,0
1101060010004,가회동,31.11,0
1101060010005,가회동,100.0,0
1101060010006,가회동,56.76,0
1101060010007,가회동,30.56,2
1101060020001,가회동,37.21,2
1101061010001,종로1·2·3·4가동,100.0,0
1101061020001,종로1·2·3·4가동,49.37,0
1101061020002,종로1·2·3·4가동,62.16,1
1101061020301,종로1·2·3·4가동,100.0,4
1101061030001,종로1·2·3·4가동,50.67,0
1101061030002,종로1·2·3·4가동,25.71,0
1101061030003,종로1·2·3·4가동,25.33,0
1101061030004,종로1·2·3·4가동,25.3,0
1101061030005,종로1·2·3·4가동,25.0,0
1101061030006,종로1·2·3·4가동,35.21,0
1101061030007,종로1·2·3·4가동,19.12,0
1101061030601,종로1·2·3·4가동,18.42,3
