iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2025 209 6 0 -999 -999 -999 -999 -999 1.01 73.11 29.39 -999 0 4.04 -999 -999 -999 -999 -999 -999 4.04 0.0 -999
2025 209 7 0 -999 -999 -999 -999 -999 1.18 72.21 29.61 -999 0 83.08 -999 -999 -999 -999 -999 -999 81.51 1.57 -999
2025 209 8 0 -999 -999 -999 -999 -999 1.23 70.21 30.22 -999 0 217.93 -999 -999 -999 -999 -999 -999 200.75 17.18 -999
2025 209 9 0 -999 -999 -999 -999 -999 1.45 65.54 31.62 -999 0 420.96 -999 -999 -999 -999 -999 -999 298.93 122.03 -999
2025 209 10 0 -999 -999 -999 -999 -999 1.43 61.57 32.92 -999 0 573.23 -999 -999 -999 -999 -999 -999 338.57 234.66 -999
2025 209 11 0 -999 -999 -999 -999 -999 1.72 57.49 34.26 -999 0 636.36 -999 -999 -999 -999 -999 -999 386.36 250.0 -999
2025 209 12 0 -999 -999 -999 -999 -999 1.81 55.18 34.9 -999 0 796.72 -999 -999 -999 -999 -999 -999 315.47 481.24 -999
2025 209 13 0 -999 -999 -999 -999 -999 1.8 52.56 35.77 -999 0 737.12 -999 -999 -999 -999 -999 -999 369.09 368.03 -999
2025 209 14 0 -999 -999 -999 -999 -999 1.85 52.03 35.89 -999 0 751.77 -999 -999 -999 -999 -999 -999 304.38 447.39 -999
2025 209 15 0 -999 -999 -999 -999 -999 1.88 50.27 36.33 -999 0 613.89 -999 -999 -999 -999 -999 -999 319.51 294.38 -999
2025 209 16 0 -999 -999 -999 -999 -999 2.02 49.96 36.4 -999 0 471.46 -999 -999 -999 -999 -999 -999 287.84 183.62 -999
2025 209 17 0 -999 -999 -999 -999 -999 2.22 51.69 35.69 -999 0 405.3 -999 -999 -999 -999 -999 -999 174.7 230.6 -999
2025 209 18 0 -999 -999 -999 -999 -999 2.09 52.74 35.16 -999 0 278.79 -999 -999 -999 -999 -999 -999 80.07 198.72 -999
2025 209 19 0 -999 -999 -999 -999 -999 2.2 55.53 34.35 -999 0 134.85 -999 -999 -999 -999 -999 -999 22.25 112.6 -999
