hour,Ta,RH,wind,kdown,kdir,kdiff
6,29.39,73.11,1.01,4.04,0.0,4.04
7,29.61,72.21,1.18,83.08,1.57,81.51
8,30.22,70.21,1.23,217.93,17.18,200.75
9,31.62,65.54,1.45,420.96,122.03,298.93
10,32.92,61.57,1.43,573.23,234.66,338.57
11,34.26,57.49,1.72,636.36,250.0,386.36
12,34.9,55.18,1.81,796.72,481.24,315.47
13,35.77,52.56,1.8,737.12,368.03,369.09
14,35.89,52.03,1.85,751.77,447.39,304.38
15,36.33,50.27,1.88,613.89,294.38,319.51
16,36.4,49.96,2.02,471.46,183.62,287.84
17,35.69,51.69,2.22,405.3,230.6,174.7
18,35.16,52.74,2.09,278.79,198.72,80.07
19,34.35,55.53,2.2,134.85,112.6,22.25
