hour,Ta,RH,wind,kdown,kdir,kdiff
6,28.98,75.49,0.88,4.04,0.0,4.04
7,29.12,75.13,0.97,83.08,1.57,81.51
8,29.97,72.53,1.08,217.93,17.18,200.75
9,31.43,67.66,1.21,420.96,122.03,298.93
10,32.8,63.25,1.33,573.23,234.66,338.57
11,33.98,59.35,1.47,636.36,250.0,386.36
12,34.73,56.9,1.57,796.72,481.24,315.47
13,35.43,54.56,1.56,737.12,368.03,369.09
14,35.86,53.41,1.68,751.77,447.39,304.38
15,36.31,51.97,1.71,613.89,294.38,319.51
16,36.31,52.07,1.76,471.46,183.62,287.84
17,35.72,54.18,1.83,405.3,230.6,174.7
18,35.05,56.04,1.84,278.79,198.72,80.07
19,33.99,59.51,1.66,134.85,112.6,22.25
