iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2025 209 6 0 -999 -999 -999 -999 -999 0.88 75.49 28.98 -999 0 4.04 -999 -999 -999 -999 -999 -999 4.04 0.0 -999
2025 209 7 0 -999 -999 -999 -999 -999 0.97 75.13 29.12 -999 0 83.08 -999 -999 -999 -999 -999 -999 81.51 1.57 -999
2025 209 8 0 -999 -999 -999 -999 -999 1.08 72.53 29.97 -999 0 217.93 -999 -999 -999 -999 -999 -999 200.75 17.18 -999
2025 209 9 0 -999 -999 -999 -999 -999 1.21 67.66 31.43 -999 0 420.96 -999 -999 -999 -999 -999 -999 298.93 122.03 -999
2025 209 10 0 -999 -999 -999 -999 -999 1.33 63.25 32.8 -999 0 573.23 -999 -999 -999 -999 -999 -999 338.57 234.66 -999
2025 209 11 0 -999 -999 -999 -999 -999 1.47 59.35 33.98 -999 0 636.36 -999 -999 -999 -999 -999 -999 386.36 250.0 -999
2025 209 12 0 -999 -999 -999 -999 -999 1.57 56.9 34.73 -999 0 796.72 -999 -999 -999 -999 -999 -999 315.47 481.24 -999
2025 209 13 0 -999 -999 -999 -999 -999 1.56 54.56 35.43 -999 0 737.12 -999 -999 -999 -999 -999 -999 369.09 368.03 -999
2025 209 14 0 -999 -999 -999 -999 -999 1.68 53.41 35.86 -999 0 751.77 -999 -999 -999 -999 -999 -999 304.38 447.39 -999
2025 209 15 0 -999 -999 -999 -999 -999 1.71 51.97 36.31 -999 0 613.89 -999 -999 -999 -999 -999 -999 319.51 294.38 -999
2025 209 16 0 -999 -999 -999 -999 -999 1.76 52.07 36.31 -999 0 471.46 -999 -999 -999 -999 -999 -999 287.84 183.62 -999
2025 209 17 0 -999 -999 -999 -999 -999 1.83 54.18 35.72 -999 0 405.3 -999 -999 -999 -999 -999 -999 174.7 230.6 -999
2025 209 18 0 -999 -999 -999 -999 -999 1.84 56.04 35.05 -999 0 278.79 -999 -999 -999 -999 -999 -999 80.07 198.72 -999
2025 209 19 0 -999 -999 -999 -999 -999 1.66 59.51 33.99 -999 0 134.85 -999 -999 -999 -999 -999 -999 22.25 112.6 -999
